,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,pp1,pp2,pp3,pp4,bin,buy,hold,sell,,bin,buy,hold,sell,buy,hold,sell,,bin,buy,hold,sell,buy,hold,sell,buy,hold,sell,buy,hold,sell
0,4/14/2021 20:30,54951.24,62239.93,62501.985,61970.825,0,reg,FALSE,BTCUSD,,,,,,,,,,,1,247,147,0,63%,37%,0%,,1,247,176,0,247,147,0,494,323,0,60%,40%,0%
1,4/14/2021 20:35,54994.37,62216.685,62422.035,61931.485,0,reg,FALSE,BTCUSD,hold,0.225867484,,,,,,,,,2,37,33,0,53%,47%,0%,,2,39,24,0,37,33,0,76,57,0,57%,43%,0%
2,4/14/2021 20:40,55103.07,62131.995,62438.195,61934.995,0,reg,FALSE,BTCUSD,hold,0.568128056,0.19714209,,,,,,,,3,15,8,0,65%,35%,0%,,3,15,8,0,15,8,0,30,16,0,65%,35%,0%
3,4/14/2021 20:45,55194.345,62258.625,62464.89,61898.085,0,reg,FALSE,BTCUSD,hold,0.476266182,-0.052912439,-0.144031408,,,,,,,4,3,1,0,75%,25%,0%,,4,3,1,0,3,1,0,6,2,0,75%,25%,0%
4,4/14/2021 20:50,55344.92,62146.62,62377.9,61914.8,0,reg,FALSE,BTCUSD,hold,0.78355159,0.176996395,0.132427489,0.159240325,68,,68,,,5,19,15,0,56%,44%,0%,,5,11,17,0,19,15,0,30,32,0,48%,52%,0%
5,4/14/2021 20:55,55502.16,62357.64,62712.325,61929.805,0,reg,FALSE,BTCUSD,hold,0.815916353,0.018642103,-0.091212072,-0.128816387,68,,68,,,6,33,23,0,59%,41%,0%,,6,37,24,0,33,23,0,70,47,0,60%,40%,0%
6,4/14/2021 21:00,55693.795,62571.595,62838.915,61926.355,0,reg,FALSE,BTCUSD,sell,0.99097,0.100830901,0.047340748,0.079806424,68,,,68,,7,0,0,0,,,,,7,0,0,0,0,0,0,0,0,0,,,
7,4/14/2021 21:05,55504.56,62548.62,62867.83,62171.92,0,reg,FALSE,BTCUSD,buy,-0.981895542,-1.136370554,-0.712628039,-0.437742021,1,1,,,,8,0,1,0,0%,100%,0%,,8,0,0,0,0,1,0,0,1,0,0%,100%,0%
8,4/14/2021 21:10,55752.595,62357.37,62851.32,62327.7149,0,reg,FALSE,BTCUSD,sell,1.281269148,1.30358286,1.405413165,1.219991732,81,,,81,,9,24,14,0,63%,37%,0%,,9,24,7,0,24,14,0,48,21,0,70%,30%,0%
9,4/14/2021 21:15,55497.47,62819.71,62864.685,62288.73,0,reg,FALSE,BTCUSD,buy,-1.323952246,-1.500607525,-1.615213663,-1.739881055,1,1,,,,10,5,4,0,56%,44%,0%,,10,5,5,0,5,4,0,10,9,0,53%,47%,0%
