,time,mark,ask,bid,vol
0,44309.47427150971,50499.225503,50515.61,50482.841007,0.0
1,44309.47497280362,50492.60973,50511.17,50474.04946,0.0
2,44309.47567402918,50490.905775,50507.77,50474.04155,0.0
3,44309.47637563316,50485.439316,50500.71,50470.168632,0.0
4,44309.4770767918,50446.335,50467.05,50425.62,0.0
5,44309.47777800917,50456.414643,50473.439287,50439.39,0.0
6,44309.47847940933,50483.885,50501.56,50466.21,0.0
7,44309.47918057078,50440.148919,50457.727839,50422.57,0.0
8,44309.479881946514,50385.11,50402.75,50367.47,0.0
9,44309.48058316146,50387.820483,50408.16,50367.480966,0.0
10,44309.48128443093,50381.59,50399.23,50363.95,0.0
11,44309.481985420716,50368.24242,50390.119342,50346.365498,0.0
12,44309.48268655857,50428.585,50446.24,50410.93,0.0
13,44309.48338798011,50431.155,50448.81,50413.5,0.0
14,44309.48408928709,50427.885,50445.54,50410.23,0.0
15,44309.48479070393,50455.51,50473.6,50437.42,0.0
16,44309.485492110594,50376.635,50394.27,50359.0,0.0
17,44309.48619363998,50345.167107,50360.064214,50330.27,0.0
18,44309.48689570618,50375.435,50393.07,50357.8,0.0
19,44309.48759707821,50382.48,50400.12,50364.84,0.0
20,44309.488298421995,50414.42233,50430.47466,50398.37,0.0
21,44309.488999629044,50413.182142,50432.784284,50393.58,0.0
22,44309.489700874954,50385.676522,50407.171371,50364.181674,0.0
23,44309.49040220751,50341.76,50359.38,50324.14,0.0
24,44309.49110385421,50381.979071,50398.568142,50365.39,0.0
25,44309.49180518786,50360.13,50377.76,50342.5,0.0
26,44309.49250638168,50366.99,50386.15,50347.83,0.0
27,44309.49321014352,50347.55158,50369.122689,50325.980471,0.0
28,44309.49391193629,50348.84,50366.47,50331.21,0.0
29,44309.494613346185,50354.528772,50371.39,50337.667544,0.0
30,44309.49531442885,50383.41,50401.05,50365.77,0.0
31,44309.49601577001,50395.096782,50414.11,50376.083564,0.0
32,44309.496717135684,50400.190456,50411.750913,50388.63,0.0
33,44309.49741823608,50347.999662,50364.519325,50331.48,0.0
34,44309.49811938859,50374.92729,50392.38,50357.47458,0.0
35,44309.498820904344,50324.055878,50341.011756,50307.1,0.0
36,44309.49952225871,50310.735,50329.15,50292.32,0.0
37,44309.500223602234,50361.161154,50384.23,50338.092309,0.0
38,44309.50092514522,50346.595,50364.76,50328.43,0.0
39,44309.501626575075,50296.920106,50312.900213,50280.94,0.0
40,44309.502328102455,50280.227748,50306.991958,50253.463539,0.0
41,44309.50302967022,50217.46,50235.04,50199.88,0.0
42,44309.50373101866,50229.467058,50249.150402,50209.783714,0.0
43,44309.504432614405,50182.093031,50201.446063,50162.74,0.0
44,44309.50513428673,50144.935,50162.49,50127.38,0.0
45,44309.505835693184,50124.410982,50141.42,50107.401965,0.0
46,44309.50653704622,50175.805,50193.37,50158.24,0.0
47,44309.50723811417,50142.732377,50156.19,50129.274755,0.0
48,44309.50793970243,50138.025,50155.58,50120.47,0.0
49,44309.50864576892,50243.88,50261.47,50226.29,0.0
50,44309.509347052655,50240.18,50257.77,50222.59,0.0
51,44309.51004828373,50231.315,50248.9,50213.73,0.0
52,44309.51075481248,50221.275,50238.86,50203.69,0.0
53,44309.51145611522,50231.417421,50247.95,50214.884843,0.0
54,44309.51215737081,50233.395,50250.98,50215.81,0.0
55,44309.512858925234,50251.865,50269.46,50234.27,0.0
56,44309.51356075299,50245.46,50263.05,50227.87,0.0
57,44309.514263432044,50239.24,50256.83,50221.65,0.0
58,44309.51496476,50284.916237,50302.37,50267.462475,0.0
59,44309.515666069296,50315.755,50333.37,50298.14,0.0
60,44309.51636727587,50295.87,50313.48,50278.26,0.0
61,44309.517068729816,50311.845,50329.46,50294.23,0.0
62,44309.51777009349,50325.57,50343.19,50307.95,0.0
63,44309.518471488154,50274.348328,50291.296657,50257.4,0.0
64,44309.51917275082,50296.805,50314.41,50279.2,0.0
65,44309.51987389053,50281.437856,50297.875712,50265.0,0.0
66,44309.52057823788,50290.025,50307.63,50272.42,0.0
67,44309.52127977757,50294.125,50311.73,50276.52,0.0
68,44309.521981033984,50284.43,50302.03,50266.83,0.0
69,44309.52268249576,50322.589083,50344.748198,50300.429969,0.0
70,44309.52338400754,50299.864668,50315.109337,50284.62,0.0
