,time,mark,ask,bid,vol
0,44322.093140391626,57879.172769,57952.11,57806.235539,0.0
1,44322.093199521914,57879.600812,57952.39,57806.811624,0.0
2,44322.09325862317,57886.903485,57956.80697,57817.0,0.0
3,44322.093317684215,57884.338615,57957.617231,57811.06,0.0
4,44322.09337671326,57883.885556,57956.551113,57811.22,0.0
5,44322.0934358607,57888.785,57956.02,57821.55,0.0
6,44322.09349485633,57883.65,57953.71,57813.59,0.0
7,44322.09355400476,57856.365,57930.02,57782.71,0.0
8,44322.093612962046,57854.725,57925.69,57783.76,0.0
9,44322.09367197467,57862.444769,57936.838063,57788.051476,0.0
10,44322.093731151086,57848.69637,57921.326509,57776.066231,0.0
11,44322.09379032804,57830.56,57904.6,57756.52,0.0
12,44322.09384938914,57831.292321,57902.41,57760.174643,0.0
13,44322.09390853995,57832.291663,57906.223326,57758.36,0.0
14,44322.093967626315,57851.113265,57922.78653,57779.44,0.0
15,44322.094026847575,57849.518235,57924.091309,57774.945162,0.0
16,44322.09408586245,57824.245,57889.31,57759.18,0.0
17,44322.09414490131,57819.685,57887.13,57752.24,0.0
18,44322.094203842105,57800.355,57871.52,57729.19,0.0
19,44322.094262817176,57782.929527,57854.27,57711.589054,0.0
20,44322.094322068595,57793.305931,57865.85,57720.761863,0.0
21,44322.09438108939,57780.63,57849.97,57711.29,0.0
22,44322.09444013922,57751.884439,57819.118879,57684.65,0.0
23,44322.09449926034,57763.704629,57828.889259,57698.52,0.0
24,44322.09455842022,57771.453282,57839.436564,57703.47,0.0
25,44322.094617441006,57807.235,57869.7,57744.77,0.0
26,44322.094676704924,57796.635,57864.75,57728.52,0.0
27,44322.09473580361,57804.604629,57872.889259,57736.32,0.0
28,44322.09479487372,57819.435,57884.31,57754.56,0.0
29,44322.09485404431,57849.139629,57916.889259,57781.39,0.0
30,44322.09491326247,57805.955,57873.11,57738.8,0.0
31,44322.094972398394,57801.367421,57866.37,57736.364842,0.0
32,44322.09503143502,57819.832179,57893.92,57745.744358,0.0
33,44322.0950906118,57815.04,57892.15,57737.93,0.0
34,44322.095149844885,57815.906686,57887.153373,57744.66,0.0
35,44322.09520885978,57808.077352,57881.114705,57735.04,0.0
36,44322.09526796104,57811.927069,57885.884138,57737.97,0.0
37,44322.0953270109,57808.927498,57886.356776,57731.498221,0.0
38,44322.09538613556,57806.655,57878.36,57734.95,0.0
39,44322.0954454598,57804.424268,57876.938536,57731.91,0.0
40,44322.09550452119,57799.458126,57872.66,57726.256253,0.0
41,44322.09556357074,57799.651071,57872.33,57726.972143,0.0
42,44322.0956227419,57788.415,57861.12,57715.71,0.0
43,44322.095681750805,57807.08,57870.96,57743.2,0.0
44,44322.09574085191,57827.105,57900.72,57753.49,0.0
45,44322.09579986083,57834.65,57905.2,57764.1,0.0
46,44322.09585889294,57832.14,57904.03,57760.25,0.0
47,44322.09591807568,57833.396918,57906.96,57759.833836,0.0
48,44322.09597721201,57831.338154,57904.34,57758.336309,0.0
49,44322.096036259965,57832.495068,57907.26,57757.730136,0.0
50,44322.09609560425,57832.233424,57906.76238,57757.704469,0.0
51,44322.096154620616,57834.22,57903.23,57765.21,0.0
52,44322.09621376804,57834.375,57905.38,57763.37,0.0
53,44322.096272870396,57831.43,57902.58,57760.28,0.0
54,44322.09633212169,57832.27,57903.97,57760.57,0.0
55,44322.09639113655,57802.286566,57876.113133,57728.46,0.0
56,44322.09645033462,57786.46,57858.17,57714.75,0.0
57,44322.09650948308,57789.034743,57862.74,57715.329487,0.0
