,begins_at,open_price,close_price,high_price,low_price,volume,session,interpolated,symbol,action,shares, value ,action,shares, value ,action,shares, value ,action,shares, value 
0,2021-04-12T22:30:00Z,0.071759,0.071592,0.072064,0.070486,0,reg,FALSE,DOGEUSD,,, $100.00 ,,, $100.00 ,,, $100.00 ,,, $100.00 
1,2021-04-12T22:35:00Z,0.071592,0.071312,0.07242,0.070759,0,reg,FALSE,DOGEUSD,buy,1396.804112, $-   ,buy,1396.804112, $-   ,,0, $100.00 ,,0, $100.00 
2,2021-04-12T22:40:00Z,0.071607,0.071772,0.0725,0.070607,0,reg,FALSE,DOGEUSD,hold,1396.804112, $-   ,hold,1396.804112, $-   ,buy,1396.511514, $-   ,,0, $100.00 
3,2021-04-12T22:45:00Z,0.071772,0.072113,0.072387,0.070754,0,reg,FALSE,DOGEUSD,hold,1396.804112, $-   ,hold,1396.804112, $-   ,hold,1396.511514, $-   ,buy,1393.301009, $-   
4,2021-04-12T22:50:00Z,0.072113,0.071671,0.0726,0.070983,0,reg,FALSE,DOGEUSD,sell,0, $100.73 ,hold,1396.804112, $-   ,hold,1396.511514, $-   ,hold,1393.301009, $-   
5,2021-04-12T22:55:00Z,0.071671,0.0714,0.072352,0.07084,0,reg,FALSE,DOGEUSD,hold,0, $100.73 ,hold,1396.804112, $-   ,hold,1396.511514, $-   ,buy,1393.301009, $-   
6,2021-04-12T23:00:00Z,0.0714,0.071168,0.072248,0.070533,0,reg,FALSE,DOGEUSD,hold,0, $100.73 ,hold,1396.804112, $-   ,buy,1396.511514, $-   ,buy,1393.301009, $-   
7,2021-04-12T23:05:00Z,0.071168,0.07139,0.072079,0.07058,0,reg,FALSE,DOGEUSD,hold,0, $100.73 ,hold,1396.804112, $-   ,hold,1396.511514, $-   ,buy,1393.301009, $-   
8,2021-04-12T23:10:00Z,0.071105,0.071142,0.072167,0.070407,0,reg,FALSE,DOGEUSD,buy,1416.605512, $-   ,buy,1396.804112, $-   ,buy,1396.511514, $-   ,buy,1393.301009, $-   
9,2021-04-12T23:15:00Z,0.071142,0.071147,0.071844,0.070431,0,reg,FALSE,DOGEUSD,hold,1416.605512, $-   ,hold,1396.804112, $-   ,hold,1396.511514, $-   ,hold,1393.301009, $-   
10,2021-04-12T23:20:00Z,0.071147,0.071364,0.072025,0.070172,0,reg,FALSE,DOGEUSD,hold,1416.605512, $-   ,sell,0, $99.38 ,sell,0, $99.36 ,hold,1393.301009, $-   
11,2021-04-12T23:25:00Z,0.071364,0.070885,0.071657,0.070258,0,reg,FALSE,DOGEUSD,sell,0, $101.09 ,hold,0, $99.38 ,hold,0, $99.36 ,hold,1393.301009, $-   
12,2021-04-12T23:30:00Z,0.070885,0.071524,0.072057,0.070257,0,reg,FALSE,DOGEUSD,buy,1426.178116, $-   ,hold,0, $99.38 ,hold,0, $99.36 ,buy,1393.301009, $-   
13,2021-04-12T23:35:00Z,0.071524,0.071263,0.072137,0.070752,0,reg,FALSE,DOGEUSD,sell,0, $102.01 ,hold,0, $99.38 ,hold,0, $99.36 ,hold,1393.301009, $-   
14,2021-04-12T23:40:00Z,0.071263,0.071166,0.071784,0.070668,0,reg,FALSE,DOGEUSD,buy,1431.401479, $-   ,hold,0, $99.38 ,hold,0, $99.36 ,buy,1393.301009, $-   
15,2021-04-12T23:45:00Z,0.071453,0.070985,0.071719,0.070497,0,reg,FALSE,DOGEUSD,sell,0, $102.28 ,hold,0, $99.38 ,hold,0, $99.36 ,hold,1393.301009, $-   
16,2021-04-12T23:50:00Z,0.070985,0.070978,0.071884,0.07029,0,reg,FALSE,DOGEUSD,hold,0, $102.28 ,hold,0, $99.38 ,hold,0, $99.36 ,buy,1393.301009, $-   
