,date,state,fips,cases,deaths,diff_cases,diff_deaths,diff_cases_pc,diff_deaths_pc,avg_dates,avg_cases,avg_deaths,avg_cases_pc,avg_deaths_pc
0,2020-01-21 00:00:00,Washington,53,1,0,,,,,2020-01-17 12:00:00,,,,
1,2020-01-22 00:00:00,Washington,53,1,0,0.0,0.0,0.0,0.0,2020-01-18 12:00:00,,,,
2,2020-01-23 00:00:00,Washington,53,1,0,0.0,0.0,0.0,0.0,2020-01-19 12:00:00,,,,
3,2020-01-24 00:00:00,Illinois,17,1,0,,,,,2020-01-20 12:00:00,,,,
4,2020-01-24 00:00:00,Washington,53,1,0,0.0,0.0,0.0,0.0,2020-01-20 12:00:00,,,,
5,2020-01-25 00:00:00,California,6,1,0,,,,,2020-01-21 12:00:00,,,,
6,2020-01-25 00:00:00,Illinois,17,1,0,0.0,0.0,0.0,0.0,2020-01-21 12:00:00,,,,
7,2020-01-25 00:00:00,Washington,53,1,0,0.0,0.0,0.0,0.0,2020-01-21 12:00:00,,,,
8,2020-01-26 00:00:00,Arizona,4,1,0,,,,,2020-01-22 12:00:00,,,,
9,2020-01-26 00:00:00,California,6,2,0,1.0,0.0,0.0025543593207038996,0.0,2020-01-22 12:00:00,,,,
10,2020-01-26 00:00:00,Illinois,17,1,0,0.0,0.0,0.0,0.0,2020-01-22 12:00:00,,,,
11,2020-01-26 00:00:00,Washington,53,1,0,0.0,0.0,0.0,0.0,2020-01-22 12:00:00,,,,
12,2020-01-27 00:00:00,Arizona,4,1,0,0.0,0.0,0.0,0.0,2020-01-23 12:00:00,,,,
13,2020-01-27 00:00:00,California,6,2,0,0.0,0.0,0.0,0.0,2020-01-23 12:00:00,,,,
14,2020-01-27 00:00:00,Illinois,17,1,0,0.0,0.0,0.0,0.0,2020-01-23 12:00:00,,,,
15,2020-01-27 00:00:00,Washington,53,1,0,0.0,0.0,0.0,0.0,2020-01-23 12:00:00,,,,
16,2020-01-28 00:00:00,Arizona,4,1,0,0.0,0.0,0.0,0.0,2020-01-24 12:00:00,,,,
17,2020-01-28 00:00:00,California,6,2,0,0.0,0.0,0.0,0.0,2020-01-24 12:00:00,,,,
18,2020-01-28 00:00:00,Illinois,17,1,0,0.0,0.0,0.0,0.0,2020-01-24 12:00:00,,,,
